"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5","0.1uF","~","","2",""
"C2,C3,C4","10uF","~","","3",""
"J1","Conn_01x03_Pin","~","","1",""
"J2,J3,J4","Conn_01x02_Pin","~","","3",""
"L1","56uH","~","","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","22k","~","","1",""
"R2,R4","10k","~","","2",""
"R3","33k","~","","1",""
"R5","4.7k","~","","1",""
"R6","3.3k","~","","1",""
"R7","330","~","","1",""
"U1","WeMos_D1_mini","https://wiki.wemos.cc/products:d1:d1_mini#documentation","Module:WEMOS_D1_mini_light","1",""
"U2","LM393","http://www.ti.com/lit/ds/symlink/lm393.pdf","","1",""
"U3,U4","PC817","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","Package_DIP:DIP-4_W7.62mm","2",""
"U5","TSR_1-2450","http://www.tracopower.com/products/tsr1.pdf","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","1",""
